Anchor_RGB,Color_A_RGB,Color_B_RGB,Preference
"[0.5089098, 0.21297742, 0.3963621]","[0.7656734, 0.10646741, 0.6794801]","[0.23526198, 0.14370413, 0.2768239]",B
"[0.06278111, 0.6053623, 0.8631712]","[0.12799637, 0.49382865, 0.9698515]","[0.1431553, 0.77440065, 0.89425623]",B
"[0.06278111, 0.6053623, 0.8631712]","[0.12799637, 0.49382865, 0.9698515]","[0.1431553, 0.77440065, 0.89425623]",A
"[0.40039974, 0.32689375, 0.19063926]","[0.5023952, 0.30688655, 0.22833672]","[0.24562381, 0.36273795, 0.10104874]",B
"[0.33028755, 0.80921036, 0.29490498]","[0.7696443, 0.9486499, 0.2695991]","[0.09247911, 0.69976723, 0.46741846]",B
"[0.13329014, 0.025362235, 0.65349704]","[0.20193668, 0.27504843, 0.81234443]","[0.39202186, 0.17082031, 0.43673712]",B
"[0.6886413, 0.66410196, 0.12018794]","[0.668128, 0.84952015, 0.04298523]","[0.72911435, 0.5993284, 0.38963792]",A
"[0.65950346, 0.28497717, 0.73810893]","[0.47128233, 0.44178247, 0.8178063]","[0.786377, 0.007637338, 0.4837944]",A
"[0.22852695, 0.89271486, 0.021415863]","[0.5832542, 0.7141607, 0.30639336]","[0.18078838, 0.9582538, 0.5999464]",A
"[0.29715413, 0.17917995, 0.9113609]","[0.7244937, 0.034728214, 0.82926846]","[0.05432646, 0.16309413, 0.5414287]",A
"[0.8682831, 0.5063787, 0.3154567]","[0.9970196, 0.14512922, 0.11254093]","[0.72911435, 0.5993284, 0.38963792]",A
"[0.9230183, 0.11384864, 0.16971746]","[0.9650007, 0.43111598, 0.24498254]","[0.6537633, 0.1653458, 0.21039706]",B
"[0.033411004, 0.4689913, 0.4952525]","[0.15421325, 0.34255186, 0.32459027]","[0.31995296, 0.6207152, 0.74678284]",A
"[0.033411004, 0.4689913, 0.4952525]","[0.15421325, 0.34255186, 0.32459027]","[0.31995296, 0.6207152, 0.74678284]",A
"[0.006824431, 0.8552049, 0.70420176]","[0.7077486, 0.9836092, 0.9163732]","[0.1686695, 0.6430554, 0.4288002]",B
"[0.89636683, 0.749089, 0.8827643]","[0.96115196, 0.53037006, 0.8369326]","[0.9048366, 0.78054655, 0.7460849]",A
"[0.89636683, 0.749089, 0.8827643]","[0.96115196, 0.53037006, 0.8369326]","[0.9048366, 0.78054655, 0.7460849]",A
"[0.20193668, 0.27504843, 0.81234443]","[0.5881263, 0.15376812, 0.9750125]","[0.2640756, 0.31053004, 0.376569]",B
"[0.1686695, 0.6430554, 0.4288002]","[0.10546273, 0.6624454, 0.6309074]","[0.3372599, 0.7157864, 0.08003798]",B
"[0.3661971, 0.42884907, 0.5075784]","[0.20193668, 0.27504843, 0.81234443]","[0.5447585, 0.5796636, 0.68740374]",B
"[0.3661971, 0.42884907, 0.5075784]","[0.20193668, 0.27504843, 0.81234443]","[0.5447585, 0.5796636, 0.68740374]",A
"[0.5447585, 0.5796636, 0.68740374]","[0.28301662, 0.5841398, 0.9606193]","[0.63367933, 0.48283792, 0.75609356]",A
"[0.5447585, 0.5796636, 0.68740374]","[0.28301662, 0.5841398, 0.9606193]","[0.63367933, 0.48283792, 0.75609356]",B
"[0.5539526, 0.32870352, 0.9233377]","[0.6813912, 0.5340194, 0.99735785]","[0.15995379, 0.2072928, 0.85230213]",B
"[0.5539526, 0.32870352, 0.9233377]","[0.6813912, 0.5340194, 0.99735785]","[0.15995379, 0.2072928, 0.85230213]",B
"[0.5539526, 0.32870352, 0.9233377]","[0.6813912, 0.5340194, 0.99735785]","[0.15995379, 0.2072928, 0.85230213]",B
"[0.12344858, 0.9701135, 0.33521903]","[0.7696443, 0.9486499, 0.2695991]","[0.3510526, 0.83443636, 0.61458576]",A
"[0.12344858, 0.9701135, 0.33521903]","[0.7696443, 0.9486499, 0.2695991]","[0.3510526, 0.83443636, 0.61458576]",A
"[0.4102883, 0.19163647, 0.7261598]","[0.18475923, 0.11248519, 0.44287202]","[0.7015016, 0.23261943, 0.66090417]",B
"[0.786377, 0.007637338, 0.4837944]","[0.7244937, 0.034728214, 0.82926846]","[0.9009874, 0.18081948, 0.33608186]",A
"[0.786377, 0.007637338, 0.4837944]","[0.7244937, 0.034728214, 0.82926846]","[0.9009874, 0.18081948, 0.33608186]",B
"[0.3555531, 0.67785937, 0.7591365]","[0.5378165, 0.9236066, 0.9413153]","[0.427386, 0.5365528, 0.64551246]",B
"[0.7490685, 0.7837343, 0.59345263]","[0.9177315, 0.8648082, 0.40949956]","[0.49266693, 0.6927735, 0.5741832]",B
"[0.8195793, 0.8867541, 0.8512252]","[0.8559879, 0.81416804, 0.6428533]","[0.5378165, 0.9236066, 0.9413153]",A
"[0.5832542, 0.7141607, 0.30639336]","[0.7696443, 0.9486499, 0.2695991]","[0.050477147, 0.75139254, 0.38447642]",A
"[0.6108784, 0.07889323, 0.5190663]","[0.34708887, 0.23447159, 0.4595244]","[0.6642787, 0.1909474, 0.8904885]",B
"[0.47128233, 0.44178247, 0.8178063]","[0.20193668, 0.27504843, 0.81234443]","[0.5447585, 0.5796636, 0.68740374]",A
"[0.47128233, 0.44178247, 0.8178063]","[0.20193668, 0.27504843, 0.81234443]","[0.5447585, 0.5796636, 0.68740374]",A
"[0.47128233, 0.44178247, 0.8178063]","[0.20193668, 0.27504843, 0.81234443]","[0.5447585, 0.5796636, 0.68740374]",A
"[0.9177315, 0.8648082, 0.40949956]","[0.7490685, 0.7837343, 0.59345263]","[0.668128, 0.84952015, 0.04298523]",B
"[0.84761536, 0.2573731, 0.07580053]","[0.7950909, 0.47609204, 0.14395571]","[0.8521462, 0.2264191, 0.298402]",A
"[0.7146047, 0.41509506, 0.364789]","[0.5023952, 0.30688655, 0.22833672]","[0.8245373, 0.6058349, 0.5270138]",A
"[0.1431553, 0.77440065, 0.89425623]","[0.06278111, 0.6053623, 0.8631712]","[0.32500288, 0.9021396, 0.8757106]",A
"[0.3211541, 0.060200937, 0.03455403]","[0.5338457, 0.0231123, 0.09393407]","[0.5023952, 0.30688655, 0.22833672]",A
"[0.3211541, 0.060200937, 0.03455403]","[0.5338457, 0.0231123, 0.09393407]","[0.5023952, 0.30688655, 0.22833672]",A
"[0.37588537, 0.57785714, 0.45086426]","[0.10546273, 0.6624454, 0.6309074]","[0.27003357, 0.5595679, 0.13965985]",B
"[0.37588537, 0.57785714, 0.45086426]","[0.10546273, 0.6624454, 0.6309074]","[0.27003357, 0.5595679, 0.13965985]",A
"[0.37588537, 0.57785714, 0.45086426]","[0.10546273, 0.6624454, 0.6309074]","[0.27003357, 0.5595679, 0.13965985]",B
"[0.088515446, 0.35437348, 0.62253803]","[0.12799637, 0.49382865, 0.9698515]","[0.05432646, 0.16309413, 0.5414287]",A
"[0.0838569, 0.7937982, 0.15885964]","[0.668128, 0.84952015, 0.04298523]","[0.09247911, 0.69976723, 0.46741846]",B
"[0.0838569, 0.7937982, 0.15885964]","[0.668128, 0.84952015, 0.04298523]","[0.09247911, 0.69976723, 0.46741846]",A
"[0.39021787, 0.009278708, 0.76804304]","[0.19300914, 0.2440832, 0.56626064]","[0.7244937, 0.034728214, 0.82926846]",B
"[0.39021787, 0.009278708, 0.76804304]","[0.19300914, 0.2440832, 0.56626064]","[0.7244937, 0.034728214, 0.82926846]",B
"[0.31995296, 0.6207152, 0.74678284]","[0.48737288, 0.7863191, 0.80465835]","[0.12799637, 0.49382865, 0.9698515]",B
"[0.15421325, 0.34255186, 0.32459027]","[0.09815677, 0.21912201, 0.087746084]","[0.20716105, 0.52405834, 0.5481512]",B
"[0.15421325, 0.34255186, 0.32459027]","[0.09815677, 0.21912201, 0.087746084]","[0.20716105, 0.52405834, 0.5481512]",B
"[0.67848116, 0.0985581, 0.2838054]","[0.46554244, 0.07704153, 0.34551817]","[0.8521462, 0.2264191, 0.298402]",B
